node1,node2,weight,relative_weight
NIGELLUS,PHINEA,3,0.42313
CORMAC,MCLAGGEN,3,0.42313
ALBUS,DUMBLEDORE,4,0.56417
DOBBY,KREACHER,3,0.42313
LOVEGOOD,LUNA,3,0.42313
MOANE,MYRTLE,5,0.70522
LORD,VOLDEMORT,4,0.56417
ROMILDA,VANE,4,0.56417
HORACE,SLUGHORN,4,0.56417
MALFOY,NARCISSA,3,0.42313
DUMBLEDORE,DURSLEY,3,0.42313
FANG,HAGRID,3,0.42313
MORFIN,MUGGLE,4,0.56417
BELL,KATIE,6,0.84626
MADAM,MALKIN,7,0.98731
ERNIE,RON,3,0.42313
RUFUS,SCRIMGEOUR,5,0.70522
ADVANC,POTION-MAKE,5,0.70522
ADVANC,RON,3,0.42313
POTION-MAKE,RON,3,0.42313
DEAN,GINNY,5,0.70522
HARRY,KREACHER,4,0.56417
BILL,FLEUR,3,0.42313
FLEUR,WEASLEY,3,0.42313
FLEUR,RON,3,0.42313
BORGIN,BURKES,7,0.98731
MEROPE,RIDDLE,4,0.56417
MEROPE,TOM,3,0.42313
BROWN,LAVENDER,5,0.70522
BROWN,RON,5,0.70522
HARRY,ZABINI,5,0.70522
HARRY,HOGWART,3,0.42313
LAVENDER,PARVATI,3,0.42313
PARVATI,RON,3,0.42313
QUIDDITCH,RON,4,0.56417
LUCIUS,MALFOY,4,0.56417
LUCIUS,VOLDEMORT,3,0.42313
WEASLEY,WIZARD,5,0.70522
GEORGE,GINNY,3,0.42313
GEORGE,RON,4,0.56417
GEORGE,HARRY,3,0.42313
DRACO,MALFOY,8,1.1283
FELICIS,FELIX,12,1.6925
FELICIS,RON,3,0.42313
FELICIS,HARRY,3,0.42313
MCLAGGEN,RON,4,0.56417
HARRY,MCLAGGEN,5,0.70522
MCGONAGALL,NEVILLE,3,0.42313
HERMIONE,NEVILLE,3,0.42313
HARRY,NEVILLE,9,1.2694
DUMBLEDORE,HORCRUX,3,0.42313
HORCRUX,VOLDEMORT,8,1.1283
GRYFFINDOR,HERMIONE,3,0.42313
GRYFFINDOR,RON,4,0.56417
GRYFFINDOR,HARRY,5,0.70522
LUNA,RON,4,0.56417
HARRY,LUNA,7,0.98731
FELIX,RON,4,0.56417
FELIX,HARRY,5,0.70522
MALFOY,SNAPE,3,0.42313
DUMBLEDORE,SNAPE,3,0.42313
SNAPE,VOLDEMORT,6,0.84626
HARRY,SNAPE,5,0.70522
CRABBE,GOYLE,15,2.1157
CRABBE,HARRY,4,0.56417
GOYLE,RON,3,0.42313
GOYLE,HARRY,4,0.56417
MCGONAGALL,RON,4,0.56417
HARRY,MCGONAGALL,6,0.84626
MADAM,POMFREY,15,2.1157
POMFREY,RON,6,0.84626
HARRY,POMFREY,4,0.56417
HAGRID,SLUGHORN,4,0.56417
HAGRID,RON,3,0.42313
HAGRID,HARRY,7,0.98731
RIDDLE,TOM,18,2.5388
KATIE,RON,5,0.70522
HARRY,KATIE,5,0.70522
TOM,VOLDEMORT,3,0.42313
HERMIONE,LAVENDER,3,0.42313
LAVENDER,RON,18,2.5388
HARRY,LAVENDER,8,1.1283
DUMBLEDORE,SLUGHORN,3,0.42313
SLUGHORN,VOLDEMORT,4,0.56417
HARRY,SLUGHORN,12,1.6925
MADAM,RON,7,0.98731
HARRY,MADAM,5,0.70522
GINNY,WEASLEY,10,1.4104
HERMIONE,WEASLEY,3,0.42313
RON,WEASLEY,14,1.9746
HARRY,WEASLEY,9,1.2694
MALFOY,RON,3,0.42313
HARRY,MALFOY,16,2.2567
DUMBLEDORE,VOLDEMORT,12,1.6925
DUMBLEDORE,HERMIONE,3,0.42313
DUMBLEDORE,RON,5,0.70522
DUMBLEDORE,HARRY,32,4.5134
HARRY,VOLDEMORT,15,2.1157
GINNY,HERMIONE,16,2.2567
GINNY,RON,27,3.8082
GINNY,HARRY,24,3.385
HERMIONE,RON,76,10.719000000000001
HARRY,HERMIONE,30,4.2313
HARRY,RON,97,13.681
