node1,node2,weight,relative_weight
BAGSHOT,BATHILDA,3,0.3881
TED,TONK,3,0.3881
CANNON,CHUDLEY,3,0.3881
GELLERT,GRINDELWALD,3,0.3881
ALECTO,CARROW,3,0.3881
LORD,VOLDEMORT,3,0.3881
HESTIA,JONES,3,0.3881
BELLATRIX,LESTRANGE,4,0.51746
RAVENCLAW,ROWENA,3,0.3881
DRACO,MALFOY,4,0.51746
MALFOY,NARCISSA,3,0.3881
BARD,BEEDLE,5,0.64683
PERCY,WEASLEY,3,0.3881
NEVILLE,RON,3,0.3881
RIDDLE,TOM,5,0.64683
ARIANA,KENDRA,3,0.3881
ALBUS,ARIANA,3,0.3881
ARTHUR,WEASLEY,3,0.3881
DOLOHOV,YAXLEY,4,0.51746
DOLOHOV,HARRY,3,0.3881
FLITWICK,HARRY,4,0.51746
CRABBE,GOYLE,4,0.51746
HARRY,LEE,3,0.3881
HARRY,RAVENCLAW,3,0.3881
HARRY,MUGGLE,3,0.3881
DUDLEY,VERNON,3,0.3881
DURSLEY,VERNON,5,0.64683
HARRY,VERNON,4,0.51746
DUMBLEDORE,GRINDELWALD,6,0.7762
AUNTIE,KENDRA,3,0.3881
DUMBLEDORE,KENDRA,3,0.3881
AUNTIE,DOGE,4,0.51746
DOGE,MURIEL,6,0.7762
DOGE,HARRY,4,0.51746
DUDLEY,DURSLEY,3,0.3881
DUDLEY,HARRY,5,0.64683
JAMES,SIRIUS,3,0.3881
LUPIN,SIRIUS,3,0.3881
HARRY,SIRIUS,3,0.3881
GREYBACK,VOLDEMORT,3,0.3881
GREYBACK,HARRY,6,0.7762
GRINGOTT,RON,4,0.51746
GRINGOTT,HARRY,5,0.64683
DURSLEY,HARRY,5,0.64683
MALFOY,STUNN,3,0.3881
RON,STUNN,3,0.3881
KREACHER,RON,3,0.3881
HARRY,KREACHER,6,0.7762
HAGRID,HERMIONE,3,0.3881
HAGRID,HARRY,7,0.90556
JAMES,LY,4,0.51746
ALBUS,LY,3,0.3881
HARRY,LY,3,0.3881
NIGELLUS,PHINEA,13,1.6818
NIGELLUS,RON,4,0.51746
ABERFORTH,ALBUS,3,0.3881
ABERFORTH,DUMBLEDORE,3,0.3881
ABERFORTH,HARRY,4,0.51746
VOLDEMORT,YAXLEY,3,0.3881
HARRY,YAXLEY,5,0.64683
LUNA,MCGONAGALL,6,0.7762
HARRY,MCGONAGALL,8,1.0349
GRIPHOOK,HERMIONE,5,0.64683
GRIPHOOK,RON,8,1.0349
GRIPHOOK,HARRY,8,1.0349
GEORGE,LUPIN,3,0.3881
GEORGE,GINNY,4,0.51746
GEORGE,WEASLEY,3,0.3881
GEORGE,HARRY,4,0.51746
PHINEA,RON,5,0.64683
HARRY,PHINEA,3,0.3881
DUMBLEDORE,WIZARD,3,0.3881
RITA,SKEETER,11,1.423
ALBUS,BATHILDA,4,0.51746
BATHILDA,DUMBLEDORE,3,0.3881
BATHILDA,HARRY,4,0.51746
BELLATRIX,LUCIUS,3,0.3881
BELLATRIX,HERMIONE,5,0.64683
BELLATRIX,RON,4,0.51746
BELLATRIX,HARRY,4,0.51746
HOGWART,RON,3,0.3881
HARRY,HOGWART,5,0.64683
LUCIUS,MALFOY,12,1.5524
HARRY,LUCIUS,3,0.3881
DUMBLEDORE,SNAPE,3,0.3881
SNAPE,VOLDEMORT,6,0.7762
HARRY,SNAPE,9,1.1643
JAMES,POTTER,6,0.7762
POTTER,VOLDEMORT,6,0.7762
HARRY,POTTER,5,0.64683
DUMBLEDORE,SKEETER,4,0.51746
KINGSLEY,LUPIN,4,0.51746
KINGSLEY,WEASLEY,3,0.3881
KINGSLEY,RON,3,0.3881
HARRY,KINGSLEY,6,0.7762
AUNTIE,MURIEL,17,2.1992
HARRY,JAMES,10,1.2937
HARRY,MURIEL,4,0.51746
BILL,FLEUR,16,2.0699
FLEUR,GINNY,3,0.3881
FLEUR,HARRY,5,0.64683
ALBUS,DUMBLEDORE,13,1.6818
ALBUS,HARRY,4,0.51746
GINNY,LUPIN,4,0.51746
LUPIN,WEASLEY,3,0.3881
LUPIN,RON,4,0.51746
HARRY,LUPIN,11,1.423
HORCRUX,VOLDEMORT,6,0.7762
HERMIONE,HORCRUX,7,0.90556
HORCRUX,RON,12,1.5524
HARRY,HORCRUX,16,2.0699
BILL,WEASLEY,6,0.7762
BILL,HERMIONE,4,0.51746
BILL,RON,4,0.51746
BILL,HARRY,7,0.90556
MALFOY,VOLDEMORT,3,0.3881
MALFOY,RON,5,0.64683
HARRY,MALFOY,8,1.0349
HERMIONE,LUNA,3,0.3881
LUNA,RON,8,1.0349
HARRY,LUNA,19,2.458
GINNY,WEASLEY,5,0.64683
GINNY,RON,10,1.2937
GINNY,HARRY,14,1.8111
HERMIONE,WEASLEY,3,0.3881
RON,WEASLEY,8,1.0349
HARRY,WEASLEY,9,1.1643
DUMBLEDORE,VOLDEMORT,7,0.90556
DUMBLEDORE,HERMIONE,5,0.64683
DUMBLEDORE,RON,8,1.0349
DUMBLEDORE,HARRY,18,2.3286
HERMIONE,VOLDEMORT,9,1.1643
RON,VOLDEMORT,16,2.0699
HARRY,VOLDEMORT,44,5.6921
HERMIONE,RON,112,14.489
HARRY,HERMIONE,58,7.5032
HARRY,RON,93,12.030999999999999
