node1,node2,weight,relative_weight
OLIVER,WOOD,3,0.8720899999999999
HARRY,OLLIVANDER,3,0.8720899999999999
ALBUS,DUMBLEDORE,3,0.8720899999999999
BANE,RONAN,3,0.8720899999999999
BETTIE,BOTT,3,0.8720899999999999
HOOCH,MADAM,5,1.4535
FLAMEL,NICOLAS,4,1.1628
DRACO,MALFOY,4,1.1628
DUDLEY,PIER,5,1.4535
MADAM,MALKIN,5,1.4535
JAMES,LY,4,1.1628
MADAM,POMFREY,5,1.4535
PERCY,WEASLEY,3,0.8720899999999999
GRINGOTT,HARRY,3,0.8720899999999999
DUDLEY,PETUNIA,6,1.7442
FLITWICK,MCGONAGALL,3,0.8720899999999999
HARRY,WOOD,3,0.8720899999999999
CRABBE,GOYLE,6,1.7442
HARRY,SNAPE,5,1.4535
JORDAN,LEE,7,2.0349
LEE,RON,3,0.8720899999999999
JORDAN,RON,3,0.8720899999999999
CRABBE,MALFOY,4,1.1628
HARRY,QUIRRELL,5,1.4535
NEVILLE,RON,3,0.8720899999999999
HARRY,NEVILLE,5,1.4535
DUMBLEDORE,HARRY,8,2.3256
GEORGE,WEASLEY,6,1.7442
GRYFFINDOR,HARRY,4,1.1628
MALFOY,RON,4,1.1628
HARRY,MALFOY,5,1.4535
HARRY,MADAM,3,0.8720899999999999
HARRY,WEASLEY,4,1.1628
HAGRID,RON,5,1.4535
HAGRID,HARRY,15,4.3605
DUDLEY,DURSLEY,16,4.6512
DURSLEY,HARRY,9,2.6163
MCGONAGALL,RON,4,1.1628
HARRY,MCGONAGALL,14,4.0698
DUDLEY,HARRY,20,5.814
HERMIONE,RON,28,8.1395
HARRY,HERMIONE,28,8.1395
HARRY,RON,67,19.477
