node1,node2,weight,relative_weight
ARTHUR,WEASLEY,3,0.71259
HOOCH,MADAM,3,0.71259
FINCH-FLETCHLEY,JUSTIN,3,0.71259
ERNIE,HANNAH,3,0.71259
FANG,HARRY,3,0.71259
GADD,GHOUL,3,0.71259
HARRY,SNAPE,4,0.9501200000000001
DRACO,MALFOY,5,1.1876
HEADLES,NICK,5,1.1876
LONGBOTTOM,NEVILLE,6,1.4252
SALAZAR,SLYTHERIN,6,1.4252
COLIN,CREEVEY,5,1.1876
M,T,4,0.9501200000000001
RIDDLE,T,4,0.9501200000000001
DOBBY,HARRY,4,0.9501200000000001
M,RIDDLE,4,0.9501200000000001
CRABBE,GOYLE,7,1.6627
JUSTIN,RON,3,0.71259
PERCY,WEASLEY,5,1.1876
HAGRID,HARRY,6,1.4252
HARRY,RIDDLE,4,0.9501200000000001
GEORGE,HARRY,8,1.9002
GINNY,WEASLEY,10,2.3753
LUCIUS,MALFOY,14,3.3254
MADAM,POMFREY,18,4.2755
MOANE,MYRTLE,22,5.2257
HARRY,MOANE,3,0.71259
HARRY,MYRTLE,3,0.71259
GILDEROY,LOCKHART,21,4.9881
LOCKHART,RON,3,0.71259
HARRY,LOCKHART,5,1.1876
HARRY,MALFOY,7,1.6627
RON,WEASLEY,4,0.9501200000000001
HARRY,WEASLEY,5,1.1876
HERMIONE,RON,38,9.0261
HARRY,HERMIONE,14,3.3254
HARRY,RON,77,18.29
