node1,node2,weight,relative_weight
DRACO,MALFOY,3,0.66372
LUCIUS,MALFOY,4,0.8849600000000001
HARRY,TOM,3,0.66372
OLIVER,WOOD,4,0.8849600000000001
BOLE,DERRICK,3,0.66372
MARGE,RIPPER,3,0.66372
CROOKSHANK,HARRY,4,0.8849600000000001
RON,SNEAKOSCOPE,4,0.8849600000000001
HARRY,SNEAKOSCOPE,3,0.66372
JORDAN,LEE,3,0.66372
HARRY,HEDWIG,4,0.8849600000000001
HUFFLEPUFF,RAVENCLAW,3,0.66372
DURSLEY,HARRY,3,0.66372
FRED,GEORGE,3,0.66372
BROWN,LAVENDER,4,0.8849600000000001
HARRY,STAN,5,1.1062
BUCKBEAK,HERMIONE,3,0.66372
BUCKBEAK,HARRY,4,0.8849600000000001
RAVENCLAW,SLYTHERIN,3,0.66372
PETUNIA,VERNON,4,0.8849600000000001
DUDLEY,VERNON,3,0.66372
LAVENDER,PARVATI,6,1.3274
PARVATI,TRELAWNEY,4,0.8849600000000001
JAMES,LY,8,1.7699
HARRY,PETUNIA,3,0.66372
BOLE,HARRY,3,0.66372
PERCY,WEASLEY,3,0.66372
HARRY,PERCY,3,0.66372
JAMES,PETER,3,0.66372
PETER,PETTIGREW,3,0.66372
DUDLEY,MARGE,4,0.8849600000000001
DUDLEY,HARRY,4,0.8849600000000001
HOOCH,MADAM,8,1.7699
HARRY,HOOCH,4,0.8849600000000001
LUPIN,SNAPE,4,0.8849600000000001
DUMBLEDORE,HARRY,4,0.8849600000000001
LUPIN,VOLDEMORT,4,0.8849600000000001
HARRY,VOLDEMORT,4,0.8849600000000001
LAVENDER,TRELAWNEY,5,1.1062
CRABBE,GOYLE,12,2.6549
NEVILLE,RON,3,0.66372
HARRY,NEVILLE,3,0.66372
HARRY,MARGE,7,1.5487
MADAM,POMFREY,13,2.8761
HERMIONE,POMFREY,3,0.66372
HARRY,POMFREY,5,1.1062
LUPIN,PETTIGREW,4,0.8849600000000001
PETTIGREW,RON,5,1.1062
HARRY,PETTIGREW,4,0.8849600000000001
HAGRID,HERMIONE,6,1.3274
HAGRID,RON,5,1.1062
HAGRID,HARRY,10,2.2124
BLACK,LUPIN,7,1.5487
BLACK,HARRY,5,1.1062
MCGONAGALL,TRELAWNEY,4,0.8849600000000001
HERMIONE,TRELAWNEY,3,0.66372
HARRY,TRELAWNEY,4,0.8849600000000001
GEORGE,WEASLEY,10,2.2124
GEORGE,RON,3,0.66372
GEORGE,HARRY,4,0.8849600000000001
HARRY,WEASLEY,8,1.7699
MALFOY,RON,5,1.1062
HARRY,MALFOY,12,2.6549
HERMIONE,MADAM,3,0.66372
HARRY,MADAM,10,2.2124
HERMIONE,MCGONAGALL,4,0.8849600000000001
MCGONAGALL,RON,7,1.5487
HARRY,MCGONAGALL,11,2.4336
HERMIONE,LUPIN,3,0.66372
LUPIN,RON,10,2.2124
HARRY,LUPIN,13,2.8761
HERMIONE,RON,47,10.398
HARRY,HERMIONE,55,12.168
HARRY,RON,85,18.805
