"ItemSetSupport","RelativeItemSetSupport%","Split Value 1","Split Value 2","combined string"
3,0.87209,"OLIVER","WOOD","OLIVER,WOOD"
3,0.87209,"HARRY","OLLIVANDER","HARRY,OLLIVANDER"
3,0.87209,"ALBUS","DUMBLEDORE","ALBUS,DUMBLEDORE"
3,0.87209,"BANE","RONAN","BANE,RONAN"
3,0.87209,"BETTIE","BOTT","BETTIE,BOTT"
5,1.4535,"HOOCH","MADAM","HOOCH,MADAM"
4,1.1628,"FLAMEL","NICOLAS","FLAMEL,NICOLAS"
4,1.1628,"DRACO","MALFOY","DRACO,MALFOY"
5,1.4535,"DUDLEY","PIER","DUDLEY,PIER"
5,1.4535,"MADAM","MALKIN","MADAM,MALKIN"
4,1.1628,"JAMES","LY","JAMES,LY"
5,1.4535,"MADAM","POMFREY","MADAM,POMFREY"
3,0.87209,"PERCY","WEASLEY","PERCY,WEASLEY"
3,0.87209,"GRINGOTT","HARRY","GRINGOTT,HARRY"
6,1.7442,"DUDLEY","PETUNIA","DUDLEY,PETUNIA"
3,0.87209,"FLITWICK","MCGONAGALL","FLITWICK,MCGONAGALL"
3,0.87209,"HARRY","WOOD","HARRY,WOOD"
6,1.7442,"CRABBE","GOYLE","CRABBE,GOYLE"
5,1.4535,"HARRY","SNAPE","HARRY,SNAPE"
7,2.0349,"JORDAN","LEE","JORDAN,LEE"
3,0.87209,"LEE","RON","LEE,RON"
3,0.87209,"JORDAN","RON","JORDAN,RON"
4,1.1628,"CRABBE","MALFOY","CRABBE,MALFOY"
5,1.4535,"HARRY","QUIRRELL","HARRY,QUIRRELL"
3,0.87209,"NEVILLE","RON","NEVILLE,RON"
5,1.4535,"HARRY","NEVILLE","HARRY,NEVILLE"
8,2.3256,"DUMBLEDORE","HARRY","DUMBLEDORE,HARRY"
6,1.7442,"GEORGE","WEASLEY","GEORGE,WEASLEY"
4,1.1628,"GRYFFINDOR","HARRY","GRYFFINDOR,HARRY"
4,1.1628,"MALFOY","RON","MALFOY,RON"
5,1.4535,"HARRY","MALFOY","HARRY,MALFOY"
3,0.87209,"HARRY","MADAM","HARRY,MADAM"
4,1.1628,"HARRY","WEASLEY","HARRY,WEASLEY"
5,1.4535,"HAGRID","RON","HAGRID,RON"
15,4.3605,"HAGRID","HARRY","HAGRID,HARRY"
16,4.6512,"DUDLEY","DURSLEY","DUDLEY,DURSLEY"
9,2.6163,"DURSLEY","HARRY","DURSLEY,HARRY"
4,1.1628,"MCGONAGALL","RON","MCGONAGALL,RON"
14,4.0698,"HARRY","MCGONAGALL","HARRY,MCGONAGALL"
20,5.814,"DUDLEY","HARRY","DUDLEY,HARRY"
28,8.1395,"HERMIONE","RON","HERMIONE,RON"
28,8.1395,"HARRY","HERMIONE","HARRY,HERMIONE"
67,19.477,"HARRY","RON","HARRY,RON"
