"ItemSetSupport","RelativeItemSetSupport%","Split Value 1","Split Value 2","combined string"
3,0.3881,"BAGSHOT","BATHILDA","BAGSHOT,BATHILDA"
3,0.3881,"TED","TONK","TED,TONK"
3,0.3881,"CANNON","CHUDLEY","CANNON,CHUDLEY"
3,0.3881,"GELLERT","GRINDELWALD","GELLERT,GRINDELWALD"
3,0.3881,"ALECTO","CARROW","ALECTO,CARROW"
3,0.3881,"LORD","VOLDEMORT","LORD,VOLDEMORT"
3,0.3881,"HESTIA","JONES","HESTIA,JONES"
4,0.51746,"BELLATRIX","LESTRANGE","BELLATRIX,LESTRANGE"
3,0.3881,"RAVENCLAW","ROWENA","RAVENCLAW,ROWENA"
4,0.51746,"DRACO","MALFOY","DRACO,MALFOY"
3,0.3881,"MALFOY","NARCISSA","MALFOY,NARCISSA"
5,0.64683,"BARD","BEEDLE","BARD,BEEDLE"
3,0.3881,"PERCY","WEASLEY","PERCY,WEASLEY"
3,0.3881,"NEVILLE","RON","NEVILLE,RON"
5,0.64683,"RIDDLE","TOM","RIDDLE,TOM"
3,0.3881,"ARIANA","KENDRA","ARIANA,KENDRA"
3,0.3881,"ALBUS","ARIANA","ALBUS,ARIANA"
3,0.3881,"ARTHUR","WEASLEY","ARTHUR,WEASLEY"
4,0.51746,"DOLOHOV","YAXLEY","DOLOHOV,YAXLEY"
3,0.3881,"DOLOHOV","HARRY","DOLOHOV,HARRY"
4,0.51746,"FLITWICK","HARRY","FLITWICK,HARRY"
4,0.51746,"CRABBE","GOYLE","CRABBE,GOYLE"
3,0.3881,"HARRY","LEE","HARRY,LEE"
3,0.3881,"HARRY","RAVENCLAW","HARRY,RAVENCLAW"
3,0.3881,"HARRY","MUGGLE","HARRY,MUGGLE"
3,0.3881,"DUDLEY","VERNON","DUDLEY,VERNON"
5,0.64683,"DURSLEY","VERNON","DURSLEY,VERNON"
4,0.51746,"HARRY","VERNON","HARRY,VERNON"
6,0.7762,"DUMBLEDORE","GRINDELWALD","DUMBLEDORE,GRINDELWALD"
3,0.3881,"AUNTIE","KENDRA","AUNTIE,KENDRA"
3,0.3881,"DUMBLEDORE","KENDRA","DUMBLEDORE,KENDRA"
4,0.51746,"AUNTIE","DOGE","AUNTIE,DOGE"
6,0.7762,"DOGE","MURIEL","DOGE,MURIEL"
4,0.51746,"DOGE","HARRY","DOGE,HARRY"
3,0.3881,"DUDLEY","DURSLEY","DUDLEY,DURSLEY"
5,0.64683,"DUDLEY","HARRY","DUDLEY,HARRY"
3,0.3881,"JAMES","SIRIUS","JAMES,SIRIUS"
3,0.3881,"LUPIN","SIRIUS","LUPIN,SIRIUS"
3,0.3881,"HARRY","SIRIUS","HARRY,SIRIUS"
3,0.3881,"GREYBACK","VOLDEMORT","GREYBACK,VOLDEMORT"
6,0.7762,"GREYBACK","HARRY","GREYBACK,HARRY"
4,0.51746,"GRINGOTT","RON","GRINGOTT,RON"
5,0.64683,"GRINGOTT","HARRY","GRINGOTT,HARRY"
5,0.64683,"DURSLEY","HARRY","DURSLEY,HARRY"
3,0.3881,"MALFOY","STUNN","MALFOY,STUNN"
3,0.3881,"RON","STUNN","RON,STUNN"
3,0.3881,"KREACHER","RON","KREACHER,RON"
6,0.7762,"HARRY","KREACHER","HARRY,KREACHER"
3,0.3881,"HAGRID","HERMIONE","HAGRID,HERMIONE"
7,0.90556,"HAGRID","HARRY","HAGRID,HARRY"
4,0.51746,"JAMES","LY","JAMES,LY"
3,0.3881,"ALBUS","LY","ALBUS,LY"
3,0.3881,"HARRY","LY","HARRY,LY"
13,1.6818,"NIGELLUS","PHINEA","NIGELLUS,PHINEA"
4,0.51746,"NIGELLUS","RON","NIGELLUS,RON"
3,0.3881,"ABERFORTH","ALBUS","ABERFORTH,ALBUS"
3,0.3881,"ABERFORTH","DUMBLEDORE","ABERFORTH,DUMBLEDORE"
4,0.51746,"ABERFORTH","HARRY","ABERFORTH,HARRY"
3,0.3881,"VOLDEMORT","YAXLEY","VOLDEMORT,YAXLEY"
5,0.64683,"HARRY","YAXLEY","HARRY,YAXLEY"
6,0.7762,"LUNA","MCGONAGALL","LUNA,MCGONAGALL"
8,1.0349,"HARRY","MCGONAGALL","HARRY,MCGONAGALL"
5,0.64683,"GRIPHOOK","HERMIONE","GRIPHOOK,HERMIONE"
8,1.0349,"GRIPHOOK","RON","GRIPHOOK,RON"
8,1.0349,"GRIPHOOK","HARRY","GRIPHOOK,HARRY"
3,0.3881,"GEORGE","LUPIN","GEORGE,LUPIN"
4,0.51746,"GEORGE","GINNY","GEORGE,GINNY"
3,0.3881,"GEORGE","WEASLEY","GEORGE,WEASLEY"
4,0.51746,"GEORGE","HARRY","GEORGE,HARRY"
5,0.64683,"PHINEA","RON","PHINEA,RON"
3,0.3881,"HARRY","PHINEA","HARRY,PHINEA"
3,0.3881,"DUMBLEDORE","WIZARD","DUMBLEDORE,WIZARD"
11,1.423,"RITA","SKEETER","RITA,SKEETER"
4,0.51746,"ALBUS","BATHILDA","ALBUS,BATHILDA"
3,0.3881,"BATHILDA","DUMBLEDORE","BATHILDA,DUMBLEDORE"
4,0.51746,"BATHILDA","HARRY","BATHILDA,HARRY"
3,0.3881,"BELLATRIX","LUCIUS","BELLATRIX,LUCIUS"
5,0.64683,"BELLATRIX","HERMIONE","BELLATRIX,HERMIONE"
4,0.51746,"BELLATRIX","RON","BELLATRIX,RON"
4,0.51746,"BELLATRIX","HARRY","BELLATRIX,HARRY"
3,0.3881,"HOGWART","RON","HOGWART,RON"
5,0.64683,"HARRY","HOGWART","HARRY,HOGWART"
12,1.5524,"LUCIUS","MALFOY","LUCIUS,MALFOY"
3,0.3881,"HARRY","LUCIUS","HARRY,LUCIUS"
3,0.3881,"DUMBLEDORE","SNAPE","DUMBLEDORE,SNAPE"
6,0.7762,"SNAPE","VOLDEMORT","SNAPE,VOLDEMORT"
9,1.1643,"HARRY","SNAPE","HARRY,SNAPE"
6,0.7762,"JAMES","POTTER","JAMES,POTTER"
6,0.7762,"POTTER","VOLDEMORT","POTTER,VOLDEMORT"
5,0.64683,"HARRY","POTTER","HARRY,POTTER"
4,0.51746,"DUMBLEDORE","SKEETER","DUMBLEDORE,SKEETER"
4,0.51746,"KINGSLEY","LUPIN","KINGSLEY,LUPIN"
3,0.3881,"KINGSLEY","WEASLEY","KINGSLEY,WEASLEY"
3,0.3881,"KINGSLEY","RON","KINGSLEY,RON"
6,0.7762,"HARRY","KINGSLEY","HARRY,KINGSLEY"
17,2.1992,"AUNTIE","MURIEL","AUNTIE,MURIEL"
10,1.2937,"HARRY","JAMES","HARRY,JAMES"
4,0.51746,"HARRY","MURIEL","HARRY,MURIEL"
16,2.0699,"BILL","FLEUR","BILL,FLEUR"
3,0.3881,"FLEUR","GINNY","FLEUR,GINNY"
5,0.64683,"FLEUR","HARRY","FLEUR,HARRY"
13,1.6818,"ALBUS","DUMBLEDORE","ALBUS,DUMBLEDORE"
4,0.51746,"ALBUS","HARRY","ALBUS,HARRY"
4,0.51746,"GINNY","LUPIN","GINNY,LUPIN"
3,0.3881,"LUPIN","WEASLEY","LUPIN,WEASLEY"
4,0.51746,"LUPIN","RON","LUPIN,RON"
11,1.423,"HARRY","LUPIN","HARRY,LUPIN"
6,0.7762,"HORCRUX","VOLDEMORT","HORCRUX,VOLDEMORT"
7,0.90556,"HERMIONE","HORCRUX","HERMIONE,HORCRUX"
12,1.5524,"HORCRUX","RON","HORCRUX,RON"
16,2.0699,"HARRY","HORCRUX","HARRY,HORCRUX"
6,0.7762,"BILL","WEASLEY","BILL,WEASLEY"
4,0.51746,"BILL","HERMIONE","BILL,HERMIONE"
4,0.51746,"BILL","RON","BILL,RON"
7,0.90556,"BILL","HARRY","BILL,HARRY"
3,0.3881,"MALFOY","VOLDEMORT","MALFOY,VOLDEMORT"
5,0.64683,"MALFOY","RON","MALFOY,RON"
8,1.0349,"HARRY","MALFOY","HARRY,MALFOY"
3,0.3881,"HERMIONE","LUNA","HERMIONE,LUNA"
8,1.0349,"LUNA","RON","LUNA,RON"
19,2.458,"HARRY","LUNA","HARRY,LUNA"
5,0.64683,"GINNY","WEASLEY","GINNY,WEASLEY"
10,1.2937,"GINNY","RON","GINNY,RON"
14,1.8111,"GINNY","HARRY","GINNY,HARRY"
3,0.3881,"HERMIONE","WEASLEY","HERMIONE,WEASLEY"
8,1.0349,"RON","WEASLEY","RON,WEASLEY"
9,1.1643,"HARRY","WEASLEY","HARRY,WEASLEY"
7,0.90556,"DUMBLEDORE","VOLDEMORT","DUMBLEDORE,VOLDEMORT"
5,0.64683,"DUMBLEDORE","HERMIONE","DUMBLEDORE,HERMIONE"
8,1.0349,"DUMBLEDORE","RON","DUMBLEDORE,RON"
18,2.3286,"DUMBLEDORE","HARRY","DUMBLEDORE,HARRY"
9,1.1643,"HERMIONE","VOLDEMORT","HERMIONE,VOLDEMORT"
16,2.0699,"RON","VOLDEMORT","RON,VOLDEMORT"
44,5.6921,"HARRY","VOLDEMORT","HARRY,VOLDEMORT"
112,14.489,"HERMIONE","RON","HERMIONE,RON"
58,7.5032,"HARRY","HERMIONE","HARRY,HERMIONE"
93,12.031,"HARRY","RON","HARRY,RON"
