"ItemSetSupport","RelativeItemSetSupport%","Split Value 1","Split Value 2","combined string"
3,0.71259,"ARTHUR","WEASLEY","ARTHUR,WEASLEY"
3,0.71259,"HOOCH","MADAM","HOOCH,MADAM"
3,0.71259,"FINCH-FLETCHLEY","JUSTIN","FINCH-FLETCHLEY,JUSTIN"
3,0.71259,"ERNIE","HANNAH","ERNIE,HANNAH"
3,0.71259,"FANG","HARRY","FANG,HARRY"
3,0.71259,"GADD","GHOUL","GADD,GHOUL"
4,0.95012,"HARRY","SNAPE","HARRY,SNAPE"
5,1.1876,"DRACO","MALFOY","DRACO,MALFOY"
5,1.1876,"HEADLES","NICK","HEADLES,NICK"
6,1.4252,"LONGBOTTOM","NEVILLE","LONGBOTTOM,NEVILLE"
6,1.4252,"SALAZAR","SLYTHERIN","SALAZAR,SLYTHERIN"
5,1.1876,"COLIN","CREEVEY","COLIN,CREEVEY"
4,0.95012,"M","T","M,T"
4,0.95012,"RIDDLE","T","RIDDLE,T"
4,0.95012,"DOBBY","HARRY","DOBBY,HARRY"
4,0.95012,"M","RIDDLE","M,RIDDLE"
7,1.6627,"CRABBE","GOYLE","CRABBE,GOYLE"
3,0.71259,"JUSTIN","RON","JUSTIN,RON"
5,1.1876,"PERCY","WEASLEY","PERCY,WEASLEY"
6,1.4252,"HAGRID","HARRY","HAGRID,HARRY"
4,0.95012,"HARRY","RIDDLE","HARRY,RIDDLE"
8,1.9002,"GEORGE","HARRY","GEORGE,HARRY"
10,2.3753,"GINNY","WEASLEY","GINNY,WEASLEY"
14,3.3254,"LUCIUS","MALFOY","LUCIUS,MALFOY"
18,4.2755,"MADAM","POMFREY","MADAM,POMFREY"
22,5.2257,"MOANE","MYRTLE","MOANE,MYRTLE"
3,0.71259,"HARRY","MOANE","HARRY,MOANE"
3,0.71259,"HARRY","MYRTLE","HARRY,MYRTLE"
21,4.9881,"GILDEROY","LOCKHART","GILDEROY,LOCKHART"
3,0.71259,"LOCKHART","RON","LOCKHART,RON"
5,1.1876,"HARRY","LOCKHART","HARRY,LOCKHART"
7,1.6627,"HARRY","MALFOY","HARRY,MALFOY"
4,0.95012,"RON","WEASLEY","RON,WEASLEY"
5,1.1876,"HARRY","WEASLEY","HARRY,WEASLEY"
38,9.0261,"HERMIONE","RON","HERMIONE,RON"
14,3.3254,"HARRY","HERMIONE","HARRY,HERMIONE"
77,18.29,"HARRY","RON","HARRY,RON"
