"ItemSetSupport","RelativeItemSetSupport%","Split Value 1","Split Value 2","combined string"
3,0.3681,"HOOCH","MADAM","HOOCH,MADAM"
3,0.3681,"FANG","HAGRID","FANG,HAGRID"
3,0.3681,"CORNER","MICHAEL","CORNER,MICHAEL"
3,0.3681,"BALL","YULE","BALL,YULE"
3,0.3681,"JORDAN","LEE","JORDAN,LEE"
4,0.4908,"SMITH","ZACHARIAS","SMITH,ZACHARIAS"
3,0.3681,"ABERCROMBIE","EUAN","ABERCROMBIE,EUAN"
3,0.3681,"PANSY","PARKINSON","PANSY,PARKINSON"
3,0.3681,"MAD-EYE","MOODY","MAD-EYE,MOODY"
3,0.3681,"HARRY","MARIETTA","HARRY,MARIETTA"
5,0.6135,"CEDRIC","DIGGORY","CEDRIC,DIGGORY"
5,0.6135,"DAVY","ROGER","DAVY,ROGER"
4,0.4908,"LOVEGOOD","LUNA","LOVEGOOD,LUNA"
5,0.6135,"BELLATRIX","LESTRANGE","BELLATRIX,LESTRANGE"
5,0.6135,"CORNELIUS","FUDGE","CORNELIUS,FUDGE"
3,0.3681,"DUDLEY","PETUNIA","DUDLEY,PETUNIA"
4,0.4908,"MADAM","POMFREY","MADAM,POMFREY"
3,0.3681,"ARTHUR","WEASLEY","ARTHUR,WEASLEY"
4,0.4908,"ALICIA","SPINNET","ALICIA,SPINNET"
6,0.7362,"DOLORES","JANE","DOLORES,JANE"
6,0.7362,"ERNIE","MACMILLAN","ERNIE,MACMILLAN"
5,0.6135,"CHANG","CHO","CHANG,CHO"
4,0.4908,"PARVATI","PATIL","PARVATI,PATIL"
4,0.4908,"SIRIUS","SNAPE","SIRIUS,SNAPE"
3,0.3681,"HARRY","SNAPE","HARRY,SNAPE"
4,0.4908,"DUDLEY","HARRY","DUDLEY,HARRY"
7,0.8589,"BELL","KATIE","BELL,KATIE"
3,0.3681,"DOLORES","UMBRIDGE","DOLORES,UMBRIDGE"
4,0.4908,"LAVENDER","PARVATI","LAVENDER,PARVATI"
9,1.1043,"NIGELLUS","PHINEA","NIGELLUS,PHINEA"
5,0.6135,"GEORGE","LEE","GEORGE,LEE"
6,0.7362,"JAMES","SIRIUS","JAMES,SIRIUS"
3,0.3681,"HARRY","JAMES","HARRY,JAMES"
7,0.8589,"KINGSLEY","SHACKLEBOLT","KINGSLEY,SHACKLEBOLT"
3,0.3681,"HARRY","PHINEA","HARRY,PHINEA"
4,0.4908,"LUPIN","TONK","LUPIN,TONK"
3,0.3681,"HARRY","TONK","HARRY,TONK"
12,1.4724,"DRACO","MALFOY","DRACO,MALFOY"
5,0.6135,"HARRY","UMBRIDGE","HARRY,UMBRIDGE"
4,0.4908,"QUIDDITCH","SLYTHERIN","QUIDDITCH,SLYTHERIN"
12,1.4724,"CRABBE","GOYLE","CRABBE,GOYLE"
4,0.4908,"GRYFFINDOR","QUIDDITCH","GRYFFINDOR,QUIDDITCH"
4,0.4908,"QUIDDITCH","RON","QUIDDITCH,RON"
12,1.4724,"LUCIUS","MALFOY","LUCIUS,MALFOY"
4,0.4908,"ALICIA","ANGELINA","ALICIA,ANGELINA"
5,0.6135,"ANGELINA","HARRY","ANGELINA,HARRY"
3,0.3681,"SIRIUS","VOLDEMORT","SIRIUS,VOLDEMORT"
10,1.227,"HAGRID","HARRY","HAGRID,HARRY"
3,0.3681,"ALICIA","KATIE","ALICIA,KATIE"
3,0.3681,"ALICIA","HARRY","ALICIA,HARRY"
3,0.3681,"GOYLE","MALFOY","GOYLE,MALFOY"
3,0.3681,"LUNA","NEVILLE","LUNA,NEVILLE"
4,0.4908,"GINNY","LUNA","GINNY,LUNA"
4,0.4908,"LUNA","RON","LUNA,RON"
3,0.3681,"MCGONAGALL","RON","MCGONAGALL,RON"
7,0.8589,"HARRY","MCGONAGALL","HARRY,MCGONAGALL"
9,1.1043,"DUMBLEDORE","HARRY","DUMBLEDORE,HARRY"
6,0.7362,"LUPIN","SIRIUS","LUPIN,SIRIUS"
3,0.3681,"LUPIN","WEASLEY","LUPIN,WEASLEY"
4,0.4908,"HARRY","LUPIN","HARRY,LUPIN"
8,0.9816,"GINNY","NEVILLE","GINNY,NEVILLE"
5,0.6135,"HERMIONE","NEVILLE","HERMIONE,NEVILLE"
5,0.6135,"NEVILLE","RON","NEVILLE,RON"
14,1.7178,"HARRY","NEVILLE","HARRY,NEVILLE"
4,0.4908,"HARRY","MALFOY","HARRY,MALFOY"
3,0.3681,"SIRIUS","WEASLEY","SIRIUS,WEASLEY"
10,1.227,"HARRY","SIRIUS","HARRY,SIRIUS"
6,0.7362,"GEORGE","WEASLEY","GEORGE,WEASLEY"
3,0.3681,"RON","WEASLEY","RON,WEASLEY"
9,1.1043,"HARRY","WEASLEY","HARRY,WEASLEY"
10,1.227,"GEORGE","GINNY","GEORGE,GINNY"
3,0.3681,"GEORGE","HERMIONE","GEORGE,HERMIONE"
9,1.1043,"GEORGE","RON","GEORGE,RON"
16,1.9632,"GEORGE","HARRY","GEORGE,HARRY"
13,1.5951,"GINNY","HERMIONE","GINNY,HERMIONE"
12,1.4724,"GINNY","RON","GINNY,RON"
6,0.7362,"GINNY","HARRY","GINNY,HARRY"
99,12.147,"HERMIONE","RON","HERMIONE,RON"
50,6.135,"HARRY","HERMIONE","HARRY,HERMIONE"
94,11.534,"HARRY","RON","HARRY,RON"
