"ItemSetSupport","RelativeItemSetSupport%","Split Value 1","Split Value 2","combined string"
3,0.3856,"AMOS","DIGGORY","AMOS,DIGGORY"
3,0.3856,"DEATH","EATER","DEATH,EATER"
4,0.51414,"BRYCE","FRANK","BRYCE,FRANK"
3,0.3856,"BARTY","CROUCH","BARTY,CROUCH"
3,0.3856,"LORD","VOLDEMORT","LORD,VOLDEMORT"
3,0.3856,"LUCIUS","MALFOY","LUCIUS,MALFOY"
5,0.64267,"MOANE","MYRTLE","MOANE,MYRTLE"
3,0.3856,"WEASLEY","WIZARD","WEASLEY,WIZARD"
3,0.3856,"ERNIE","MACMILLAN","ERNIE,MACMILLAN"
4,0.51414,"HARRY","HEDWIG","HARRY,HEDWIG"
3,0.3856,"HARRY","MOODY","HARRY,MOODY"
6,0.77121,"CORNELIUS","FUDGE","CORNELIUS,FUDGE"
3,0.3856,"FANG","HARRY","FANG,HARRY"
5,0.64267,"BROWN","LAVENDER","BROWN,LAVENDER"
5,0.64267,"PIGWIDGEON","RON","PIGWIDGEON,RON"
3,0.3856,"HARRY","PIGWIDGEON","HARRY,PIGWIDGEON"
4,0.51414,"CEDRIC","CHO","CEDRIC,CHO"
4,0.51414,"CHO","HARRY","CHO,HARRY"
5,0.64267,"CREEVEY","DENNIS","CREEVEY,DENNIS"
7,0.89974,"ALBUS","DUMBLEDORE","ALBUS,DUMBLEDORE"
4,0.51414,"DAVY","ROGER","DAVY,ROGER"
3,0.3856,"DAVY","FLEUR","DAVY,FLEUR"
3,0.3856,"DAVY","HARRY","DAVY,HARRY"
8,1.0283,"JORDAN","LEE","JORDAN,LEE"
4,0.51414,"KARKAROFF","MAXIME","KARKAROFF,MAXIME"
5,0.64267,"HARRY","SIRIUS","HARRY,SIRIUS"
3,0.3856,"HARRY","HUFFLEPUFF","HARRY,HUFFLEPUFF"
3,0.3856,"GRYFFINDOR","RON","GRYFFINDOR,RON"
4,0.51414,"DUMBLEDORE","POTTER","DUMBLEDORE,POTTER"
6,0.77121,"LAVENDER","PARVATI","LAVENDER,PARVATI"
